ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
3123,06/02/2016 04:00,USA,Phoenix,AZ,Other,It turned the Phoenix area in to full daylight....,33.4485866,-112.0773455,06/02/2016,04:00
3124,06/02/2016 04:00,USA,Phoenix,AZ,Fireball,"Gigantic fireball lit up the night sky just like it was daylight. E sky, N 
Phoenix. Huge contrail was left in the sky. ((meteor??))",33.4485866,-112.0773455,06/02/2016,04:00
3127,06/02/2016 03:55,USA,Phoenix,AZ,Other,"Bright light swell, north of Phoenix.",33.4485866,-112.0773455,06/02/2016,03:55
3154,5/30/16 21:00,USA,Phoenix,AZ,Other,"Monday May 30th NE Phoenix, 7th Street and Paradise LN.",33.4485866,-112.0773455,05/30/16,21:00
3213,5/27/16 22:00,USA,Phoenix,AZ,Other,"Friday the 27th of May at 10pm noticed a light flashing in the sky NE of 
Phoenix",33.4485866,-112.0773455,05/27/16,22:00
3478,05/03/2016 12:00,USA,Phoenix,AZ,Other,"05/03/2016 UFOS OVER PHOENIX SKYHABOR AIRPORT 1. BRIGHT LIGHTS Small bright 
lights dancing all over skyhabor airport 12pm A. Disk shap",33.4485866,-112.0773455,05/03/2016,12:00
3564,4/23/16 23:00,USA,Phoenix,AZ,Light,"I was going into my home i noticed a fire in the sky looked like a big 
shooting star i immediately started recording i told my boyfrien",33.4485866,-112.0773455,04/23/16,23:00
3573,4/23/16 21:20,USA,Phoenix,AZ,Light,Bright light. ((NUFORC Note: Possible flare from an Iridium satellite? PD)),33.4485866,-112.0773455,04/23/16,21:20
3864,3/30/16 23:00,USA,Phoenix,AZ,Other,Strange light or object in North Phoenix sky,33.4485866,-112.0773455,03/30/16,23:00
4048,3/15/16 02:40,USA,Phoenix,AZ,Other,"((HOAX??)) It was semi transparent shaped like a bomarang but the right 
side was a little shorter. size of a small 727, silent.",33.4485866,-112.0773455,03/15/16,02:40
4205,03/02/2016 20:00,USA,Phoenix,AZ,Other,4 objects with one red and green light on each hovering over the freeway.,33.4485866,-112.0773455,03/02/2016,20:00
4206,03/02/2016 19:41,USA,Phoenix,AZ,Light,"UP DATE ON 3-2-16 REPORT OF 3 BRIGHT LIGHT'S FOLLOWED BY RED LIGHT MAKING 
LOUD HELICOPTER LIKE NOISE.",33.4485866,-112.0773455,03/02/2016,19:41
4207,03/02/2016 19:41,USA,Phoenix,AZ,Light,"3 Blue-whites Being Followed,By Red Blinking Light Making Loud 
Helicopter-Like Noise!,.",33.4485866,-112.0773455,03/02/2016,19:41
4254,2/29/16 01:00,USA,Phoenix,AZ,Circle,"UFO sighting over Phoenix, AZ 02/29/16",33.4485866,-112.0773455,02/29/16,01:00
4373,2/19/16 18:38,USA,Phoenix,AZ,Other,"At first sight, we thought...the Phoenix Lights are back!!!",33.4485866,-112.0773455,02/19/16,18:38
4453,2/13/16 14:30,USA,Phoenix,AZ,Circle,High altitude white disc observed.,33.4485866,-112.0773455,02/13/16,14:30
4686,1/28/16 21:30,USA,Phoenix,AZ,Circle,4 bright circular lights in sky over South Phoenix.,33.4485866,-112.0773455,01/28/16,21:30
4691,1/28/16 19:30,USA,Phoenix,AZ,Light,Multiple lights hovering in a row North of Phoenix!,33.4485866,-112.0773455,01/28/16,19:30
4701,1/27/16 20:15,USA,Phoenix,AZ,Light,6 bright red lights ascending form horizon in the western sky.,33.4485866,-112.0773455,01/27/16,20:15
4764,1/21/16 22:00,USA,Phoenix,AZ,Other,HUGE BLUISH AND PURPLE DISK-LIKE SAUCER HOOVERING ABOVE THE CANYON SKYLINE,33.4485866,-112.0773455,01/21/16,22:00
4853,1/13/16 16:20,USA,Phoenix,AZ,Other,Sighting of small white orbs high over Phoenix.,33.4485866,-112.0773455,01/13/16,16:20
4979,01/02/2016 19:15,USA,Phoenix,AZ,Other,"At about 19:15 hrs. this evening, walking dog, noticed 2 bright red objects 
in W sky heading W; one was following the other.",33.4485866,-112.0773455,01/02/2016,19:15
5000,01/01/2016 12:00,USA,Phoenix,AZ,Light,"White, round, object in sky, zigzag. Phoenix, AZ.",33.4485866,-112.0773455,01/01/2016,12:00
23,12/17/16 20:00,USA,San Diego,CA,Sphere,"Was standing on top of Sunset Cliffs overlooking the Pacific ocean. I 
noticed a dim red light around near where the horizon should hav",32.7174209,-117.1627713,12/17/16,20:00
49,12/14/16 09:00,USA,San Diego,CA,Other,"Angel, protector.",32.7174209,-117.1627713,12/14/16,09:00
267,11/22/16 05:20,USA,San Diego,CA,Sphere,"It was a white glowing sphere. It was traveling from West to north east. I 
lost track of what happened next, it disappeared from sky. C",32.7174209,-117.1627713,11/22/16,05:20
641,10/29/16 19:10,USA,San Diego,CA,Light,"Light beam witnessed above Mission Bay/Pacific Beach San Diego. ((anonymous 
report))",32.7174209,-117.1627713,10/29/16,19:10
896,10/11/2016 19:25,USA,San Diego,CA,Light,"Orange light crossed the sky like a fast satellite and then dropped down at 
a sharp angle backwards and disappeared.",32.7174209,-117.1627713,10/11/2016,19:25
897,10/11/2016 19:25,USA,San Diego,CA,Light,"An orange light moved into the glow of the moon and came back out, 
brighter, shooting diagonally down.",32.7174209,-117.1627713,10/11/2016,19:25
1270,9/19/16 03:32,USA,San Diego,CA,Triangle,"San Diego, CA 9/19/16 3:32 am I heard noise like a thunder clap and what 
sounded to be a low flying roar from an aircraft. I walked ou",32.7174209,-117.1627713,09/19/16,03:32
